device_id,location_id,device_type,install_date,software_version,status
D0001,L002,Cabinet Classic,2025-11-16,v2.1,active
D0002,L003,Cabinet Classic,2023-10-18,v2.1,active
D0003,L002,Compact Terminal,2024-02-28,v1.8,active
D0004,L004,Cabinet Classic,2024-10-24,v2.1,active
D0005,L007,Cabinet Pro,2024-10-31,v2.1,active
D0006,L001,Cabinet Pro,2023-07-16,v2.1,active
D0007,L003,Cabinet Pro,2025-11-20,v2.2,active
D0008,L002,Compact Terminal,2024-01-11,v1.8,active
D0009,L005,Cabinet Classic,2025-07-15,v2.1,active
D0010,L007,Cabinet Classic,2025-11-11,v2.1,active
D0011,L006,Cabinet Pro,2024-07-19,v2.1,active
D0012,L004,Touch Terminal,2023-03-09,v2.2,active
D0013,L002,Compact Terminal,2023-11-30,v2.0,active
D0014,L006,Cabinet Pro,2023-11-02,v2.0,active
D0015,L005,Cabinet Classic,2023-12-20,v2.1,active
D0016,L004,Cabinet Pro,2023-10-05,v2.1,active
D0017,L004,Touch Terminal,2024-08-03,v2.2,active
D0018,L004,Cabinet Classic,2025-10-04,v2.2,active
D0019,L002,Cabinet Pro,2023-08-06,v2.2,active
D0020,L006,Cabinet Pro,2024-10-12,v2.1,active
D0021,L008,Cabinet Pro,2024-08-17,v2.0,active
D0022,L005,Compact Terminal,2025-01-08,v2.2,active
D0023,L004,Cabinet Pro,2025-08-05,v2.1,active
D0024,L001,Cabinet Classic,2023-05-02,v2.0,active
D0025,L007,Cabinet Classic,2023-10-10,v2.0,active
D0026,L008,Touch Terminal,2024-03-11,v2.2,active
D0027,L001,Cabinet Classic,2024-12-04,v2.1,active
D0028,L005,Touch Terminal,2023-08-25,v1.8,active
D0029,L008,Cabinet Classic,2024-06-28,v2.2,active
D0030,L005,Cabinet Pro,2024-10-19,v2.1,active
D0031,L005,Cabinet Pro,2024-10-11,v2.0,active
D0032,L001,Touch Terminal,2025-06-16,v2.1,active
D0033,L006,Touch Terminal,2025-11-13,v2.0,active
D0034,L002,Cabinet Classic,2024-06-18,v2.1,active
D0035,L003,Cabinet Pro,2023-06-14,v2.1,maintenance
D0036,L003,Touch Terminal,2025-12-15,v2.1,active
D0037,L004,Cabinet Pro,2023-07-17,v2.1,active
D0038,L006,Compact Terminal,2023-08-20,v2.2,active
D0039,L004,Cabinet Pro,2025-04-22,v1.8,active
D0040,L004,Cabinet Pro,2024-03-24,v1.8,active
D0041,L001,Cabinet Pro,2025-08-24,v1.8,active
D0042,L006,Cabinet Classic,2023-11-05,v2.1,active
D0043,L008,Cabinet Pro,2024-01-08,v2.1,active
D0044,L008,Cabinet Pro,2025-01-26,v2.2,active
D0045,L004,Cabinet Classic,2025-12-10,v1.8,active
D0046,L007,Compact Terminal,2023-03-14,v2.1,active
D0047,L002,Cabinet Classic,2024-10-17,v2.1,active
D0048,L002,Cabinet Pro,2023-06-08,v2.0,active
D0049,L003,Compact Terminal,2024-02-02,v2.0,active
D0050,L002,Compact Terminal,2023-10-13,v2.2,active
D0051,L002,Cabinet Classic,2023-11-03,v2.1,active
D0052,L001,Cabinet Classic,2025-07-22,v2.2,active
D0053,L003,Compact Terminal,2025-01-16,v2.1,active
D0054,L007,Cabinet Classic,2024-09-23,v2.0,active
D0055,L007,Touch Terminal,2024-08-20,v2.2,active
D0056,L005,Compact Terminal,2026-01-06,v2.1,active
D0057,L008,Cabinet Pro,2024-06-27,v2.0,active
D0058,L001,Cabinet Classic,2025-09-05,v2.1,active
D0059,L008,Cabinet Pro,2023-11-21,v1.8,active
D0060,L003,Cabinet Classic,2024-01-27,v2.1,active
D0061,L004,Compact Terminal,2023-05-06,v1.8,active
D0062,L004,Cabinet Classic,2023-11-20,v2.1,active
D0063,L006,Touch Terminal,2025-01-13,v2.0,active
D0064,L004,Touch Terminal,2023-03-18,v2.0,active
D0065,L005,Compact Terminal,2024-11-24,v2.0,active
D0066,L002,Cabinet Classic,2025-02-27,v2.1,inactive
D0067,L002,Cabinet Classic,2023-05-25,v2.1,active
D0068,L003,Touch Terminal,2025-01-08,v2.2,active
D0069,L006,Touch Terminal,2025-12-01,v2.0,active
D0070,L005,Cabinet Classic,2024-09-20,v2.1,active
D0071,L002,Cabinet Pro,2023-09-24,v2.0,active
D0072,L003,Touch Terminal,2025-07-28,v2.0,active
D0073,L006,Cabinet Pro,2024-09-28,v2.1,active
D0074,L008,Touch Terminal,2025-10-02,v2.2,active
D0075,L002,Compact Terminal,2024-01-24,v2.2,active
D0076,L006,Cabinet Pro,2024-09-13,v2.1,active
D0077,L008,Compact Terminal,2025-02-22,v2.1,active
D0078,L003,Cabinet Classic,2025-06-17,v2.2,active
D0079,L003,Compact Terminal,2024-06-07,v1.8,active
D0080,L001,Touch Terminal,2024-02-11,v2.0,active
D0081,L002,Touch Terminal,2023-04-17,v2.2,active
D0082,L007,Cabinet Pro,2024-10-26,v2.2,active
D0083,L003,Cabinet Pro,2025-08-29,v2.2,active
D0084,L006,Compact Terminal,2023-08-14,v2.2,active
D0085,L004,Touch Terminal,2024-03-26,v2.0,active
D0086,L007,Cabinet Classic,2024-01-08,v2.2,active
D0087,L008,Touch Terminal,2025-11-08,v2.0,active
D0088,L004,Cabinet Pro,2025-03-14,v1.8,active
D0089,L006,Touch Terminal,2023-10-25,v2.2,maintenance
D0090,L005,Touch Terminal,2023-08-15,v2.1,active
D0091,L006,Cabinet Classic,2024-10-28,v1.8,inactive
D0092,L003,Touch Terminal,2023-09-14,v1.8,active
D0093,L006,Touch Terminal,2023-08-04,v2.1,inactive
D0094,L002,Compact Terminal,2024-12-20,v2.2,active
D0095,L001,Compact Terminal,2023-06-03,v1.8,maintenance
D0096,L004,Touch Terminal,2025-04-09,v2.1,maintenance
D0097,L006,Touch Terminal,2025-06-03,v2.1,active
D0098,L005,Touch Terminal,2024-01-28,v2.1,active
D0099,L005,Cabinet Pro,2024-03-19,v2.0,active
D0100,L007,Cabinet Pro,2025-09-21,v2.1,active
D0101,L001,Touch Terminal,2023-08-14,v2.0,active
D0102,L006,Compact Terminal,2025-07-17,v2.1,active
D0103,L008,Cabinet Pro,2023-09-14,v2.1,active
D0104,L006,Cabinet Classic,2026-02-15,v2.2,active
D0105,L005,Cabinet Pro,2023-09-23,v2.2,active
D0106,L001,Cabinet Pro,2023-10-04,v2.2,active
D0107,L002,Compact Terminal,2023-10-11,v2.1,active
D0108,L004,Compact Terminal,2024-02-17,v2.1,active
D0109,L001,Cabinet Classic,2024-09-18,v2.2,active
D0110,L008,Cabinet Classic,2024-01-03,v2.1,maintenance
D0111,L002,Compact Terminal,2025-04-22,v1.8,active
D0112,L006,Compact Terminal,2023-10-11,v2.1,active
D0113,L007,Compact Terminal,2024-06-17,v2.2,active
D0114,L008,Compact Terminal,2024-10-02,v2.0,active
D0115,L005,Compact Terminal,2024-08-11,v2.1,active
D0116,L002,Touch Terminal,2024-06-02,v2.0,active
D0117,L002,Cabinet Pro,2026-01-13,v2.0,active
D0118,L003,Cabinet Pro,2025-09-21,v1.8,active
D0119,L008,Compact Terminal,2025-05-27,v1.8,active
D0120,L007,Cabinet Classic,2025-10-19,v2.2,active
