session_id,device_id,session_start,session_end,game_title,game_category,plays,revenue_eur,error_count,age_group,event_log
S00000001,D0001,2025-11-25T14:20:00,2025-11-25T14:44:00,Space Spin,Arcade,4,5.12,0,18-24,info: standard telemetry event
S00000002,D0001,2025-11-25T14:26:00,2025-11-25T14:45:00,Crystal Maze,Puzzle,4,3.82,0,45-54,info: standard telemetry event
S00000003,D0001,2025-11-25T17:43:00,2025-11-25T18:01:00,Space Spin,Arcade,3,3.58,0,35-44,info: no device exception
S00000004,D0001,2025-11-25T09:09:00,2025-11-25T09:15:00,Neon Racer,Skill,1,1.02,0,25-34,info: standard telemetry event
S00000005,D0001,2025-11-25T14:45:00,2025-11-25T15:00:00,Space Spin,Arcade,4,4.63,0,18-24,info: standard telemetry event
S00000006,D0001,2025-11-25T17:58:00,2025-11-25T18:17:00,Crystal Maze,Puzzle,5,5.0,0,35-44,info: no device exception
S00000007,D0001,2025-11-25T11:45:00,2025-11-25T12:04:00,Space Spin,Arcade,3,4.26,0,18-24,info: no device exception
S00000008,D0002,2025-11-25T10:24:00,2025-11-25T10:33:00,Golden Safari,Adventure,2,3.99,0,55+,info: session completed normally
S00000009,D0002,2025-11-25T12:32:00,2025-11-25T12:52:00,Treasure Quest,Adventure,4,6.99,1,35-44,info: standard telemetry event
S00000010,D0002,2025-11-25T09:28:00,2025-11-25T09:42:00,Treasure Quest,Adventure,5,7.28,0,35-44,info: session completed normally
S00000011,D0002,2025-11-25T13:32:00,2025-11-25T13:43:00,Mystic Wheels,Chance,4,6.56,0,25-34,info: standard telemetry event
S00000012,D0003,2025-11-25T11:22:00,2025-11-25T11:29:00,Lucky Harbor,Classic,5,6.59,1,25-34,info: standard telemetry event
S00000013,D0004,2025-11-25T22:04:00,2025-11-25T22:20:00,Golden Safari,Adventure,4,4.87,2,25-34,info: standard telemetry event
S00000014,D0004,2025-11-25T17:49:00,2025-11-25T18:18:00,Space Spin,Arcade,4,4.34,0,45-54,info: standard telemetry event
S00000015,D0004,2025-11-25T14:01:00,2025-11-25T14:08:00,Space Spin,Arcade,1,1.14,0,45-54,info: standard telemetry event
S00000016,D0004,2025-11-25T18:42:00,2025-11-25T19:10:00,Golden Safari,Adventure,3,4.21,0,35-44,info: session completed normally
S00000017,D0005,2025-11-25T20:17:00,2025-11-25T20:29:00,Treasure Quest,Adventure,2,2.7,1,25-34,info: standard telemetry event
S00000018,D0005,2025-11-25T12:49:00,2025-11-25T13:06:00,Fruit Galaxy,Classic,4,4.52,1,18-24,info: no device exception
S00000019,D0005,2025-11-25T14:21:00,2025-11-25T14:52:00,Treasure Quest,Adventure,5,7.62,0,25-34,info: session completed normally
S00000020,D0005,2025-11-25T14:08:00,2025-11-25T14:27:00,Treasure Quest,Adventure,2,3.47,0,18-24,info: no device exception
S00000021,D0005,2025-11-25T16:44:00,2025-11-25T16:56:00,Mystic Wheels,Chance,1,1.65,0,35-44,info: standard telemetry event
S00000022,D0005,2025-11-25T17:52:00,2025-11-25T18:03:00,Neon Racer,Skill,3,4.67,0,35-44,info: standard telemetry event
S00000023,D0005,2025-11-25T09:50:00,2025-11-25T10:11:00,Crystal Maze,Puzzle,7,8.39,1,35-44,info: session completed normally
S00000024,D0005,2025-11-25T16:50:00,2025-11-25T17:10:00,Fruit Galaxy,Classic,3,4.71,0,55+,info: session completed normally
S00000025,D0006,2025-11-25T17:57:00,2025-11-25T18:18:00,Fruit Galaxy,Classic,6,7.24,1,18-24,info: no device exception
S00000026,D0006,2025-11-25T19:50:00,2025-11-25T20:22:00,Lucky Harbor,Classic,7,8.08,1,35-44,info: no device exception
S00000027,D0006,2025-11-25T13:31:00,2025-11-25T13:43:00,Space Spin,Arcade,4,4.87,1,55+,info: standard telemetry event
S00000028,D0006,2025-11-25T13:36:00,2025-11-25T13:58:00,Neon Racer,Skill,2,2.41,0,35-44,info: session completed normally
S00000029,D0006,2025-11-25T19:43:00,2025-11-25T20:02:00,Neon Racer,Skill,4,4.54,0,35-44,info: session completed normally
S00000030,D0006,2025-11-25T11:20:00,2025-11-25T11:36:00,Lucky Harbor,Classic,6,8.77,2,35-44,info: no device exception
S00000031,D0006,2025-11-25T15:07:00,2025-11-25T15:37:00,Fruit Galaxy,Classic,3,2.67,0,45-54,info: no device exception
S00000032,D0007,2025-11-25T17:07:00,2025-11-25T17:30:00,Crystal Maze,Puzzle,6,6.77,0,25-34,info: no device exception
S00000033,D0007,2025-11-25T19:00:00,2025-11-25T19:22:00,Crystal Maze,Puzzle,2,2.71,0,35-44,info: session completed normally
S00000034,D0007,2025-11-25T10:54:00,2025-11-25T10:57:00,Crystal Maze,Puzzle,1,1.34,1,45-54,info: session completed normally
S00000035,D0007,2025-11-25T21:26:00,2025-11-25T21:37:00,Golden Safari,Adventure,1,1.67,0,25-34,info: session completed normally
S00000036,D0007,2025-11-25T12:02:00,2025-11-25T12:15:00,Crystal Maze,Puzzle,3,4.06,1,45-54,info: no device exception
S00000037,D0007,2025-11-25T11:00:00,2025-11-25T11:16:00,Golden Safari,Adventure,3,4.74,1,18-24,info: no device exception
S00000038,D0007,2025-11-25T15:02:00,2025-11-25T15:22:00,Mystic Wheels,Chance,4,7.91,2,35-44,info: no device exception
S00000039,D0008,2025-11-25T16:05:00,2025-11-25T16:16:00,Lucky Harbor,Classic,3,3.08,0,45-54,info: no device exception
S00000040,D0008,2025-11-25T11:18:00,2025-11-25T11:32:00,Golden Safari,Adventure,3,3.28,0,25-34,info: standard telemetry event
S00000041,D0008,2025-11-25T14:35:00,2025-11-25T14:57:00,Lucky Harbor,Classic,6,8.02,2,45-54,info: standard telemetry event
S00000042,D0009,2025-11-25T20:39:00,2025-11-25T20:59:00,Fruit Galaxy,Classic,3,3.68,0,45-54,info: standard telemetry event
S00000043,D0009,2025-11-25T08:42:00,2025-11-25T09:10:00,Neon Racer,Skill,4,4.32,2,35-44,info: standard telemetry event
S00000044,D0009,2025-11-25T09:51:00,2025-11-25T10:06:00,Space Spin,Arcade,2,2.64,0,18-24,info: standard telemetry event
S00000045,D0009,2025-11-25T13:25:00,2025-11-25T13:56:00,Crystal Maze,Puzzle,7,7.09,0,25-34,info: session completed normally
S00000046,D0009,2025-11-25T14:50:00,2025-11-25T15:00:00,Crystal Maze,Puzzle,2,1.62,0,25-34,info: standard telemetry event
S00000047,D0010,2025-11-25T12:51:00,2025-11-25T13:07:00,Lucky Harbor,Classic,3,3.92,0,18-24,info: no device exception
